,,,,CO2e,,原因
Week 1食物,低,,有機雞蛋,0.33 ,0.33 ,有機農業通常對能源消耗與土地負擔較小
Week 2飲料,低,0.45,美粒果白葡萄蘆薈,0.32 ,0.32 ,
Week 2飲料,低,0.6,瓶裝沙士,0.32 ,0.32 ,
Week 1食物,低,300g,小黃瓜,0.28 ,0.28 ,蔬菜類在生產過程中的資源消耗最少
Week 2飲料,低,0.59,舒跑,0.28 ,0.28 ,
Week 1食物,高 + 低,42g,鳳梨酥,0.26 ,0.26 ,
Week 1食物,低,42g,鳳梨酥,0.26 ,0.26 ,
Week 3交通,高 * 2,1,燃油汽車,0.25 ,0.12 - 0.25,
Week 3交通,高 * 2,1,飛機(經濟艙),0.25 ,0.15 - 0.25,短程飛行
Week 3交通,高,1,燃油汽車,0.25 ,0.12 - 0.25,
Week 3交通,高,1,飛機(經濟艙),0.25 ,0.15 - 0.25,
Week 3交通,低,1,汽車,0.25 ,0.12 - 0.25,
Week 2飲料,高,0.3,熱美式咖啡,0.22 ,0.22 ,
Week 2飲料,高,0.33,罐裝啤酒,0.21 ,0.21 ,
Week 2飲料,低,0.33,罐裝啤酒,0.21 ,0.21 ,啤酒發酵製程標準化且碳排較低。
Week 2飲料,低,0.375,鋁箔包奶茶,0.20 ,0.20 ,包裝輕便化能降低運輸過程的排碳
Week 4娛樂,低,1小時,電玩家用主機,0.20 ,0.05 ~ 0.2,專用遊戲機的能效較優
Week 2飲料,高,0.6,瓶裝茶裏王,0.20 ,0.20 ,
Week 2飲料,低,0.6,瓶裝茶裏王,0.20 ,0.20 ,
Week 4娛樂,低,,網購零售服務,0.18 ,0.18 ,集體配送效率高
Week 1食物,低,45g ,海苔,0.14 ,0.14 ,藻類，生長過程能固碳，排放量極低。
Week 2飲料,低,0.6,瓶裝水,0.14 ,0.14 ,不需要農產品原料，加工環節最少
Week 2飲料,低,0.3,麥香綠茶,0.12 ,0.12 ,茶葉加工過程的能源需求低於咖啡豆
Week 6生活,高,,紙袋,0.12 ,0.12 ,造紙需耗大量木材與水
Week 3交通,低 * 2,1,電動車,0.10 ,0.05 - 0.1,整體效能較高
Week 3交通,低,1,電動車,0.10 ,0.05 - 0.1,
Week 3交通,高 * 3,1,機車,0.10 ,0.10 ,效能較優
Week 3交通,高,1,機車,0.10 ,0.10 ,效能較優
Week 3交通,高,1,機車,0.10 ,0.10 ,
Week 4娛樂,低,,線上串流音樂,0.08 ,0.08 ,
Week 3交通,高 + 低*2,1,捷運,0.08 ,0.08 ,大眾運輸低於私人機具
Week 3交通,低,1,捷運,0.08 ,0.08 ,大眾運輸低於私人機具
Week 3交通,低,1,捷運,0.08 ,0.08 ,
Week 3交通,高,1,公車(甲類),0.08 ,0.08 ,
Week 3交通,高 + 低,1,公車(甲類),0.08 ,0.08 ,特定滿載情況下，公車的效率極佳
Week 5居家,高,,電熱水瓶,0.07 ,0.07 ,
Week 6生活,低,,塑膠袋,0.06 ,0.06 ,
Week 5居家,低,,天然氣燒水,0.06 ,0.06 ,直接燃燒加熱效率優於電力轉換
Week 3交通,高 + 低,1,台鐵,0.05 ,0.05 ,
Week 3交通,低,1,台鐵,0.05 ,0.05 ,
Week 4娛樂,低,,ATM服務,0.04 ,0.04 ,僅進行單一操作
Week 3交通,低 * 3,1,高鐵,0.04 ,0.04 ,高鐵是陸運中極具效率
Week 3交通,低,1,高鐵,0.04 ,0.04 ,高鐵最低
Week 3交通,低,1,高鐵,0.04 ,0.04 ,
Week 4娛樂,低,1小時,戶外跑步,0.00 ,0.00 ,
Week 4娛樂,低,,騎自行車,0.00 ,0.00 ,幾乎不產生額外環境負擔
Week 5居家,高,,長期使用的舊冰箱,,,24h運轉
Week 5居家,低,,偶爾用的微波爐,,,短時間耗能
